MainID,CrossStreetMainID,Street,from,to,District,StartTime,EndTime,Side,Miles,oneway,week1,week2,week3,week4,week5,EveryDay,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Yearround
62,947,Adams St,Winthrop St,Lowney Way,1C,08:00:00.0000000,12:00:00.0000000,Odd,0.1222,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
63,2948,Charlesgate East,Dead End,Back St,99,12:00:00.0000000,15:00:00.0000000,,0.0203,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
64,56,Calumet St,Tremont St,Parker Hill Ave,10M,12:00:00.0000000,16:00:00.0000000,Even,0.5669,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
65,1468,Arborcrest Ter,Gladeside Ave,Ridgeview Ave,7,12:00:00.0000000,16:00:00.0000000,Even,0.0922,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
66,1285,Castle Rock St,Grampian Way,Caspian Way,3,12:00:00.0000000,16:00:00.0000000,Even,0.0741,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
67,1710,Armstrong St,Chestnut Ave,Mozart St,2,12:00:00.0000000,16:00:00.0000000,Odd,0.1049,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
68,271,Chaucer St,Curtis St,Moore St,9,12:00:00.0000000,16:00:00.0000000,Odd,0.1127,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
69,80,Bloomfield St,Geneva Ave,Greenbrier St,3,12:00:00.0000000,16:00:00.0000000,Even,0.3032,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
70,1446,Carlos St,Woodrow Ave,Callender St,7,08:00:00.0000000,12:00:00.0000000,Even,0.0653,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
71,1122,Adams St,Dorchester Ave,Park St,7,08:00:00.0000000,12:00:00.0000000,Odd,0.1739,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
72,2042,Brighton St,Dead End,Caldwell St,1C,08:00:00.0000000,12:00:00.0000000,Odd,0.0377,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
73,365,Berkeley St,Tremont St,Boylston St,M,05:00:00.0000000,07:00:00.0000000,Odd,0.4498,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
74,2324,Berkeley St,Tremont St,Columbus Ave,1B,05:00:00.0000000,07:00:00.0000000,Even,0.2595,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
75,1695,Chilcott Pl,Washington St,Dead End,2,12:00:00.0000000,16:00:00.0000000,Odd,0.0953,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
76,1872,Caspian Way,Castle Rock St,Dead End,3,12:00:00.0000000,16:00:00.0000000,Odd,0.0595,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
77,99,Adams St,Bowdoin St,Leedsville St,3,08:00:00.0000000,12:00:00.0000000,Odd,0.3045,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
78,2548,Ashmont St,Dorchester Ave,Adams St,7,08:00:00.0000000,12:00:00.0000000,Even,0.4924,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
79,2158,Alpha Rd,Waldeck St,Park St,7,08:00:00.0000000,12:00:00.0000000,Odd,0.1830,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
80,2638,Cambridge St,Tremont St,Charles St,1F,00:01:00.0000000,07:00:00.0000000,Odd Side Median,0.6089,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
81,466,Circuit St,Walnut Ave,Washington St,10R,12:00:00.0000000,16:00:00.0000000,Odd,0.3496,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
82,713,Brook Marshall Rd,Raynor Cir,Sojourner Truth Ct,10R,08:00:00.0000000,12:00:00.0000000,Odd,0.0938,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
83,53,Cherokee St,Hillside St,Pontiac St,10M,12:00:00.0000000,16:00:00.0000000,Even,0.1241,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
84,1944,Brainerd Rd,Gorham St,Kelton St,4,08:00:00.0000000,12:00:00.0000000,Odd,0.2216,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
85,2273,Boylston St,Centre St,Lamartine St,2,08:00:00.0000000,12:00:00.0000000,Odd,0.3947,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
86,1533,Carter St,Cambridge St,Roland St,1C,08:00:00.0000000,12:00:00.0000000,Odd,0.0403,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
87,440,Bradeen St,Washington St,Dead End,2,12:00:00.0000000,16:00:00.0000000,Even,0.1848,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
88,2410,Belmont St,Bunker Hill St,Medford St,1C,08:00:00.0000000,12:00:00.0000000,Even,0.1218,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
89,744,Aspen St,Montrose St,Copeland St,10R,08:00:00.0000000,12:00:00.0000000,Odd,0.0688,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
90,2275,Chappie St,Bunker Hill St,Medford St,1C,08:00:00.0000000,12:00:00.0000000,Odd,0.1059,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
91,2643,Causeway St,Merrimac St,North Washington St,1W,00:01:00.0000000,07:00:00.0000000,,0.3284,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
92,122,Chiswick Rd,Chestnut Hill Ave,Dead End,4,12:00:00.0000000,16:00:00.0000000,Odd,0.1438,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
93,2647,Charles Street South,Tremont St,Boylston St,1B,00:01:00.0000000,07:00:00.0000000,Even,0.2659,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
94,489,Bexley Rd,Washington St,Florence St,2,08:00:00.0000000,12:00:00.0000000,Even,0.1581,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
95,2479,Clarendon St,Commonwealth Ave,Beacon St,1B,06:00:00.0000000,08:00:00.0000000,Even,0.1432,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
